sofifa_id,short_name,long_name,player_positions,nationality
158023,L. Messi,Lionel Andres Messi Cuccittini,"RW, ST, CF",Argentina
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",Portugal
200389,J. Oblak,Jan Oblak,GK,Slovenia
188545,R. Lewandowski,Robert Lewandowski,ST,Poland
190871,Neymar Jr,Neymar da Silva Santos Junior,"LW, CAM",Brazil
192985,K. De Bruyne,Kevin De Bruyne,"CAM, CM",Belgium
231747,K. Mbappe,Kylian Mbappe Lottin,"ST, LW, RW",France
192448,M. ter Stegen,Marc-Andre ter Stegen,GK,Germany
203376,V. van Dijk,Virgil van Dijk,CB,Netherlands
212831,Alisson,Alisson Ramses Becker,GK,Brazil
208722,S. Mane,Sadio Mane,LW,Senegal
209331,M. Salah,Mohamed Salah Ghaly,RW,Egypt
192119,T. Courtois,Thibaut Courtois,GK,Belgium
153079,S. Aguero,Sergio Leonel Aguero del Castillo,ST,Argentina
155862,Sergio Ramos,Sergio Ramos Garcia,CB,Spain
165153,K. Benzema,Karim Benzema,"CF, ST",France
167495,M. Neuer,Manuel Neuer,GK,Germany
200145,Casemiro,Carlos Henrique Venancio Casimiro,CDM,Brazil
210257,Ederson,Ederson Santana de Moraes,GK,Brazil
202652,R. Sterling,Raheem Shaquille Sterling,"LW, RW",England
212622,J. Kimmich,Joshua Kimmich,"CDM, RB",Germany
202126,H. Kane,Harry Kane,ST,England
211110,P. Dybala,Paulo Bruno Exequiel Dybala,"CF, CAM",Argentina
162835,S. Handanovic,Samir Handanovic,GK,Slovenia
182521,T. Kroos,Toni Kroos,CM,Germany
183277,E. Hazard,Eden Hazard,"LW, ST",Belgium
201024,K. Koulibaly,Kalidou Koulibaly,CB,Senegal
215914,N. Kante,N'Golo Kante,"CDM, CM",France
233049,J. Sancho,Jadon Sancho,"RM, LM, CAM",England
231281,T. Alexander-Arnold,Trent Alexander-Arnold,RB,England
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",Portugal
212218,A. Laporte,Aymeric Laporte,CB,France
209499,Fabinho,Fabio Henrique Tavares,CDM,Brazil
216267,A. Robertson,Andrew Robertson,LB,Scotland
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"RW, CAM, CM",Portugal
138956,G. Chiellini,Giorgio Chiellini,CB,Italy
167948,H. Lloris,Hugo Lloris,GK,France
176580,L. Suarez,Luis Alberto Suarez Diaz,ST,Uruguay
177003,L. Modric,Luka Modric,CM,Croatia
183898,A. Di Maria,Angel Fabian Di Maria Hernandez,"RW, LW",Argentina
186153,W. Szczesny,Wojciech Szczesny,GK,Poland
188567,P. Aubameyang,Pierre-Emerick Aubameyang,"ST, LW",Gabon
189511,Sergio Busquets,Sergio Busquets i Burgos,CDM,Spain
192387,C. Immobile,Ciro Immobile,ST,Italy
193041,K. Navas,Keylor Navas Gamboa,GK,Costa Rica
194765,A. Griezmann,Antoine Griezmann,"ST, CF, LW",France
200104,H. Son,sonheungmin Sun Xing Min ,"LM, CF",Korea Republic
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,CF,Brazil
201535,R. Varane,Raphael Varane,CB,France
195864,P. Pogba,Paul Pogba,"CM, CDM",France
199556,M. Verratti,Marco Verratti,"CM, CDM",Italy
143076,A. Gomez,Alejandro Dario Gomez,"CAM, CF, ST",Argentina
152729,Pique,Gerard Pique Bernabeu,CB,Spain
168542,David Silva,David Josue Jimenez Silva,"CAM, CM",Spain
177683,Y. Sommer,Yann Sommer,GK,Switzerland
178603,M. Hummels,Mats Hummels,CB,Germany
183711,J. Henderson,Jordan Brian Henderson,"CDM, CM",England
189332,Jordi Alba,Jordi Alba Ramos,LB,Spain
189596,T. Muller,Thomas Muller,"CAM, RM, RW",Germany
193080,De Gea,David De Gea Quintana,GK,Spain
204963,Carvajal,Daniel Carvajal Ramos,RB,Spain
208830,J. Vardy,Jamie Vardy,ST,England
235790,K. Havertz,Kai Havertz,"CAM, RM, CF",Germany
230621,G. Donnarumma,Gianluigi Donnarumma,GK,Italy
235243,M. de Ligt,Matthijs de Ligt,CB,Netherlands
231677,M. Rashford,Marcus Rashford,"LM, ST",England
222492,L. Sane,Leroy Sane,LM,Germany
228702,F. de Jong,Frenkie de Jong,CM,Netherlands
207865,Marquinhos,Marcos Aoas Correa,"CB, CDM",Brazil
220440,C. Lenglet,Clement Nicolas Laurent Lenglet,CB,France
223848,S. Milinkovic-Savic,Sergej Milinkovic-Savic,"CM, CDM, CAM",Serbia
232363,M. Skriniar,Milan Skriniar,CB,Slovakia
202556,M. Depay,Memphis Depay,"CF, LW, CAM",Netherlands
212188,T. Werner,Timo Werner,ST,Germany
231866,Rodri,Rodrigo Hernandez Cascante,"CDM, CM",Spain
192563,B. Leno,Bernd Leno,GK,Germany
206113,S. Gnabry,Serge Gnabry,"RM, LM, RW",Germany
210243,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,RB,Portugal
192505,R. Lukaku,Romelu Lukaku Menama,ST,Belgium
198706,Luis Alberto,Luis Alberto Romero Alconchel,"CAM, CM, CF",Spain
201399,M. Icardi,Mauro Emanuel Icardi Rivero,ST,Argentina
208670,H. Ziyech,Hakim Ziyech,"CAM, RW",Morocco
164240,Thiago Silva,Thiago Emiliano da Silva,CB,Brazil
175943,D. Mertens,Dries Mertens,"CF, ST",Belgium
180206,M. Pjanic,Miralem Pjanic,"CM, CDM",Bosnia Herzegovina
181291,G. Wijnaldum,Georginio Wijnaldum,CM,Netherlands
182493,D. Godin,Diego Roberto Godin Leal,CB,Uruguay
